PO	GeneralType	Type	SubType
TE	Soil	Volcanic	Beach sand
TE	Soil	Volcanic	Fe Oxide Silicate Magnetic
TE	Soil	Volcanic	Fe Oxide Silicate Non-Magnetic
TE	Soil	Volcanic	Highly Magnetic Soil/Tephra 
TE	Soil	Volcanic	Iron Oxide Silicate 
TE	Soil	Volcanic	Magnetic
TE	Soil	Volcanic	Palagonite
TE	Soil	Volcanic	Palagonitic 
TE	Soil	Volcanic	Palagonitic Ammonium Leached
TE	Soil	Volcanic	Palagonitic Ammonium Non-Leached
TE	Soil	Volcanic	Palagonitic Tuff
TE	Soil	Volcanic	Palagontic
TE	Soil	Volcanic	Sulfur
TE	Soil	Volcanic	Tephra
TE	Soil	Volcanic	Tephra Magnetic
TE	Soil	Volcanic	Volcaniclastic Sand 
TE	Soil	Volcanic	Weathered 
TE	Soil	Volcanic	
TE	Soil	Weathered Igneous 	Palagonite Altered Volcanic Glass 
TE	Soil	Weathered Igneous Volcan	PalagoniteVolcanic Soil 
TE	Soil		Oxidized
TE	Soil		Palagonite
TE	Soil		Red Soil
TE	Soil		Sand
TE	Soil		Sun Baked Mud 
TE	Soil		Volcanic Diatreme (?) 
TE	Soil		Volcanic Sand 
TE	Soil		
TE	Spherule	Sedimentary	Travertine Modern
TE		Organic 	Asphaltite
TE		Organic 	Asphaltum 
TE			#43 T-1 B 
TE			Albertite 
TE			Amersil (BC) Qtz
TE			Anatase 
TE			Antrharxolite 
TE			Fe2O3 
TE			Mars Analogue 
TE			Nacholite 
TE			
XT	Experimental	Achondrite	Acid-treated Brachinite 
XT	Experimental	Achondrite	Laser Irradiated Diogenite
XT	Experimental	Achondrite	Laser Irradiated Eucrite
XT	Experimental	Achondrite	Melted Quenched Eucrite HED Basaltic
XT	Experimental	Carbonaceous Chondrite	Heated CI1
XT	Experimental	Chondrite 	Acid-treated R
XT	Experimental	Enstatite Chondrite 	Heated E4
XT	Experimental	Sulfide 	Troilite
XT	Man-Made	Mixture 	10/90 TRO201/MET101 
XT	Man-Made	Mixture 	Enstatite Oldhamite 
XT	Meteorite 	Achondrite	Acapulco
XT	Meteorite 	Achondrite	Acapulco-Type 
XT	Meteorite 	Achondrite	Acapulcoite 
XT	Meteorite 	Achondrite	Acapulcoite Lodranite Primitive Achondrite
XT	Meteorite 	Achondrite	Acapulcoite Primitive Achondrite
XT	Meteorite 	Achondrite	Angrite 
XT	Meteorite 	Achondrite	Aubrite 
XT	Meteorite 	Achondrite	Aubrite (AUB) 
XT	Meteorite 	Achondrite	Aubrite Enstatite Achondrite
XT	Meteorite 	Achondrite	Aubrite Rusted
XT	Meteorite 	Achondrite	Augite Achondrite (ACANOM)
XT	Meteorite 	Achondrite	Basaltic HED Diogenite
XT	Meteorite 	Achondrite	Basaltic HED Diogenite Unique 
XT	Meteorite 	Achondrite	Basaltic HED Eucrite
XT	Meteorite 	Achondrite	Basaltic HED Eucrite Brecciated 
XT	Meteorite 	Achondrite	Basaltic HED Eucrite Mg-rich
XT	Meteorite 	Achondrite	Basaltic HED Eucrite Polymict 
XT	Meteorite 	Achondrite	Basaltic HED Eucrite Unbrecciated 
XT	Meteorite 	Achondrite	Basaltic HED Howardite
XT	Meteorite 	Achondrite	Brachinite
XT	Meteorite 	Achondrite	Carlisle Lakes Type 
XT	Meteorite 	Achondrite	Differentiated M-Eucrite
XT	Meteorite 	Achondrite	Differentiated M-Howardite
XT	Meteorite 	Achondrite	Differentiated M-Ureilite 
XT	Meteorite 	Achondrite	Diogenite 
XT	Meteorite 	Achondrite	Diogenite (ADIO)
XT	Meteorite 	Achondrite	Diogenite Basaltic
XT	Meteorite 	Achondrite	Dunite Olivine
XT	Meteorite 	Achondrite	Eucrite 
XT	Meteorite 	Achondrite	Eucrite (AEUC)
XT	Meteorite 	Achondrite	Eucrite Basaltic
XT	Meteorite 	Achondrite	Eucrite HED Basaltic
XT	Meteorite 	Achondrite	HED Diogenite 
XT	Meteorite 	Achondrite	HED Eucrite 
XT	Meteorite 	Achondrite	HED Eucrite Monomict
XT	Meteorite 	Achondrite	HED Howardite 
XT	Meteorite 	Achondrite	Howardite (AHOW)
XT	Meteorite 	Achondrite	Lodranite 
XT	Meteorite 	Achondrite	Lodranite Primitive Achondrite
XT	Meteorite 	Achondrite	Monomict Eucrite HED Basaltic 
XT	Meteorite 	Achondrite	Polymict Eucrite HED Basaltic 
XT	Meteorite 	Achondrite	Transitional Acapulcoite Lodranite
XT	Meteorite 	Achondrite	Unique
XT	Meteorite 	Achondrite	Ureilite
XT	Meteorite 	Carbonaceous	"CM, Primitive, 2"
XT	Meteorite 	Carbonaceous Chondrite	C2
XT	Meteorite 	Carbonaceous Chondrite	C2 Unusual
XT	Meteorite 	Carbonaceous Chondrite	C2R 
XT	Meteorite 	Carbonaceous Chondrite	C4
XT	Meteorite 	Carbonaceous Chondrite	C5
XT	Meteorite 	Carbonaceous Chondrite	CI
XT	Meteorite 	Carbonaceous Chondrite	CI Unusual
XT	Meteorite 	Carbonaceous Chondrite	CK4 
XT	Meteorite 	Carbonaceous Chondrite	CK5 
XT	Meteorite 	Carbonaceous Chondrite	CK5-6 
XT	Meteorite 	Carbonaceous Chondrite	CK6 
XT	Meteorite 	Carbonaceous Chondrite	CM
XT	Meteorite 	Carbonaceous Chondrite	CM or CR
XT	Meteorite 	Carbonaceous Chondrite	CM Unusual
XT	Meteorite 	Carbonaceous Chondrite	CM2 
XT	Meteorite 	Carbonaceous Chondrite	CO3 
XT	Meteorite 	Carbonaceous Chondrite	CR2 
XT	Meteorite 	Carbonaceous Chondrite	CV3 
XT	Meteorite 	Carbonaceous Chondrite	CV3 CAI Inclusion 
XT	Meteorite 	Carbonaceous Chondrite	Unusual CI/CM 
XT	Meteorite 	Carbonaceous Chrondrite 	CM2 
XT	Meteorite 	Carbonaecous Chondrite	CI
XT	Meteorite 	Carboneceous chondrite	CO3 
XT	Meteorite 	Chondrite 	CM2 
XT	Meteorite 	Chondrite 	H5
XT	Meteorite 	Chondrite 	L4
XT	Meteorite 	Chondrite 	R 
XT	Meteorite 	Chondrite 	
XT	Meteorite 	Enstatite Chondrite 	E4
XT	Meteorite 	Enstatite Chondrite 	E5
XT	Meteorite 	Enstatite Chondrite 	E6
XT	Meteorite 	Enstatite Chondrite 	E7
XT	Meteorite 	Iron	? with silicate inclusions
XT	Meteorite 	Iron	Coarse Octahedrite IAB
XT	Meteorite 	Iron	Course Octahedrite
XT	Meteorite 	Iron	"Finest Octahedrite, Plessitic(0.15mm) IRANOM"
XT	Meteorite 	Iron	IA
XT	Meteorite 	Iron	IAB 
XT	Meteorite 	Iron	IAB Silicate Inclusion
XT	Meteorite 	Iron	Iranom
XT	Meteorite 	Iron	Medium Octahedrite IIIAB
XT	Meteorite 	Iron	Ni-rich Ataxite (IRANOM)
XT	Meteorite 	Iron	
XT	Meteorite 	"Iron, IA"	Metal 
XT	Meteorite 	Lunar 	Gabbroic
XT	Meteorite 	Oliv-Bronzite Chondrite 	H3-4
XT	Meteorite 	Ordinary Chondrite	Amphoterite LL3 
XT	Meteorite 	Ordinary Chondrite	Amphoterite LL4 
XT	Meteorite 	Ordinary Chondrite	Amphoterite LL5 
XT	Meteorite 	Ordinary Chondrite	Amphoterite LL6 
XT	Meteorite 	Ordinary Chondrite	Anomalous M-F-Chondrite (CHANOM)
XT	Meteorite 	Ordinary Chondrite	CM2 
XT	Meteorite 	Ordinary Chondrite	CO3 
XT	Meteorite 	Ordinary Chondrite	CV3 
XT	Meteorite 	Ordinary Chondrite	H 
XT	Meteorite 	Ordinary Chondrite	H3
XT	Meteorite 	Ordinary Chondrite	H3-4
XT	Meteorite 	Ordinary Chondrite	H4
XT	Meteorite 	Ordinary Chondrite	H5
XT	Meteorite 	Ordinary Chondrite	"H5, Olivine-Bronzite"
XT	Meteorite 	Ordinary Chondrite	H5-6
XT	Meteorite 	Ordinary Chondrite	H6
XT	Meteorite 	Ordinary Chondrite	L3
XT	Meteorite 	Ordinary Chondrite	L3.4
XT	Meteorite 	Ordinary Chondrite	L4
XT	Meteorite 	Ordinary Chondrite	L5
XT	Meteorite 	Ordinary Chondrite	L6
XT	Meteorite 	Ordinary Chondrite	LL3 
XT	Meteorite 	Ordinary Chondrite	LL4 
XT	Meteorite 	Ordinary Chondrite	LL6 
XT	Meteorite 	Ordinary Chondrite	Olivine-Bronzite Chondrite H3 
XT	Meteorite 	Ordinary Chondrite	Olivine-Bronzite Chondrite H4 
XT	Meteorite 	Ordinary Chondrite	Olivine-Bronzite Chondrite H5 
XT	Meteorite 	Ordinary Chondrite	Olivine-Bronzite Chondrite H6 
XT	Meteorite 	Ordinary Chondrite	Olivine-Hypersthene Chondrite L4
XT	Meteorite 	Ordinary Chondrite	Olivine-Hypersthene Chondrite L5
XT	Meteorite 	Ordinary Chondrite	Olivine-Hypersthene Chondrite L6
XT	Meteorite 	Ordinary Chondrite	
XT	Meteorite 	Ordinary Chondrites 	Anomalous M-F-Chondrite CHANOM
XT	Meteorite 	Planetary 	Chassignite (ACANOM) Martian
XT	Meteorite 	Planetary 	Lunar 
XT	Meteorite 	Planetary 	Martian 
XT	Meteorite 	Planetary 	Nakhlite (ACANOM) Martian 
XT	Meteorite 	Planetary 	Nakhlite Martian
XT	Meteorite 	Planetary 	Orthopyroxenite Martian 
XT	Meteorite 	Planetary 	Shergottite 
XT	Meteorite 	Planetary 	Shergottite Martian 
XT	Meteorite 	Planetary Achondrite	Anomalous (ACANOM)
XT	Meteorite 	Primitive Achondrite	Brachinite
XT	Meteorite 	Stone 	"Achondrite, AEUC"
XT	Meteorite 	Stone 	Anomalous 
XT	Meteorite 	Stone 	"Carbonaceous Chondrite, type III (CV3)"
XT	Meteorite 	Stone 	"Chondrite, CHANOM "
XT	Meteorite 	Stone 	H5
XT	Meteorite 	Stone 	L4
XT	Meteorite 	Stone 	L5
XT	Meteorite 	Stone 	L6
XT	Meteorite 	Stone 	LL5 
XT	Meteorite 	Stone 	LL6 
XT	Meteorite 	Stone 	Nakhlite
XT	Meteorite 	Stony-iron	Lodranite (LOD) 
XT	Meteorite 	Stony-Iron	Mesosiderite
XT	Meteorite 	Stony-iron	Mesosiderite (MES)
XT	Meteorite 	Stony-Iron	Pallasite 
XT	Meteorite 	Stony-Iron	Unique
XT	Meteorite 		Lodranite 
XT	Meteorite 		Troilite
XT	Meteorite 		
XT	Meteorite	Ordinary Chondrite	C2
XT	Meteorite	Ordinary Chondrite	CI
XT	Meteorite	Ordinary Chondrite	CV3 
XT	Meteorite	Carbonaceous Chondrite	CK5 
XT	Meteorite	Carbonaceous Chondrite	C2
XT	Meteorite 	Ordinary Chondrite	L5
XT	Mineral 	Metal 	Iron Nicket Fe Ni Aubrite 
XT	Mineral 	Silicate	Hypersthene 
XT	Mineral 	Sulfide 	Aubrite 
XT	Mineral 	Sulfide 	Oldhamite CaS 
XT	Mineral 	Sulphide	Troilite
			Rock H Spot 1 
