Rec #	Sample ID	Mineral	%SiO2	%TiO2	%Al2O3	%Cr2O3	%Fe2O3	%FeO	%MnO	%MgO	%CaO	%Na2O	%K2O	%P2O5	%LOI	Cu(ppm)	Ni(ppm)	Co(ppm)	Zn(ppm)	V(ppm)	Source	Text
174	MR-MJG-102          	BULK	48.24	0.29	1.45	0.42	0.00	20.64	0.54	12.47	15.08	0.42	0.10	0.12	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Nakhla Meteorite                                                        
175	MR-MJG-103          	BULK	44.64	2.30	9.85	0.29	0.00	8.10	0.08	11.40	23.30	0.04	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Angra dos Reis Meteorite (SiO2=estimate)                                
176	MR-MJG-104          	BULK	37.00	0.07	0.36	0.83	0.00	27.44	0.53	32.83	1.99	0.15	0.03	0.04	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Chassigny Meteorite                                                     
177	MR-MJG-105          	BULK	10.55	0.04	0.87	0.25	0.00	18.28	0.15	9.54	0.87	0.05	0.06	0.12	0.00	0.00	0.00	500.00	0.00	0.00	                                                                        	"Orgueil Meteorite (C1) (Pure elments, not oxides)                       "
178	MR-MJG-108          	BULK	13.00	0.05	1.14	0.25	0.00	21.20	0.16	11.73	1.18	0.04	0.04	0.13	0.00	0.00	0.00	600.00	0.00	0.00	                                                                        	"Mighei Meteorite (C2M) (Pure elements, not oxides)                      "
179	MR-MJG-115          	BULK	15.60	0.11	1.35	0.38	0.00	25.83	0.18	14.66	1.40	0.41	0.14	0.15	0.00	0.00	1.36	820.00	0.00	0.00	                                                                        	"Ornans Meteorite (Pure elem's, not oxides; Ni=%, not ppm)               "
180	MR-MJG-121          	BULK	15.62	0.06	1.32	0.36	0.00	19.62	0.15	14.40	1.83	0.03	0.03	0.16	0.00	97.00	0.00	600.00	80.00	0.00	                                                                        	"Mokoia Meteorite (C3V) (Pure elements, not oxides)                      "
181	MR-MJG-028          	BULK	45.80	0.00	2.43	0.00	0.00	11.40	0.00	28.70	2.06	1.06	0.00	0.00	0.00	96.00	0.00	830.00	0.00	0.00	                                                                        	Allegan Meteorite (H5) (See also analysis #182)                         
182	MR-MJG-028          	BULK	36.01	0.09	2.00	0.24	0.00	9.49	0.28	23.05	1.62	0.92	0.09	0.16	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Allegan Meteorite (H5) (analysis of non-mag separate; see #181)         
183	MR-MJG-026          	BULK	31.62	0.03	1.54	0.13	0.00	0.14	0.04	20.90	1.00	0.44	0.06	0.01	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Daniel's Kuil Meteorite (E6) (analysis of non-mag unattacked)           
184	MR-MJG-027          	BULK	37.45	0.08	2.28	0.55	0.00	9.34	0.30	24.18	1.79	0.96	0.08	0.13	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	"Ochansk Meteorite (H4) (Analysis of non-mag, unattacked separate)       "
185	MR-MJG-070          	BULK	41.45	0.10	2.12	0.36	0.00	17.73	0.05	25.63	1.92	0.85	0.07	0.24	0.00	0.00	1.06	0.09	0.00	0.00	"B Mason & HB Wiik, Geochim.Cosmochim.Acta,1964,28,533                   "	"Soko-Banja Meteorite (LL4) (Ni & Co = wt%, no ppm)                      "
186	MR-MJG-063          	BULK	39.78	0.12	2.24	0.55	0.00	14.78	0.34	24.65	1.87	0.94	0.12	0.26	0.00	0.00	1.16	700.00	0.00	0.00	                                                                        	"Tourinnes-la-Grosse Meteorite (L6) (Ni=%, not ppm)                      "
187	MR-MJG-106          	BULK	9.70	0.00	0.80	0.20	0.00	14.40	0.22	9.44	0.96	0.49	0.00	0.00	0.00	130.00	0.00	550.00	299.00	0.00	"DM Shaw & RS Harmon, Meteor. 1975,10,p253 (factor analysis)             "	"Alais Meteorite (C1) (pure elem's, not oxides)                          "
188	MR-MJG-110          	BULK	13.40	0.00	0.98	0.29	0.00	23.80	0.17	11.90	1.36	0.14	0.03	0.00	0.00	118.00	0.00	460.00	150.00	0.00	"DM Shaw & RS Harmon, Meteor. 1975,10,p253                               "	"Murray Meteorite (C2) (Pure elements, not oxides)                       "
189	MR-MJG-112          	BULK	15.90	0.00	1.28	0.37	0.00	25.70	0.16	14.30	1.56	0.41	0.04	0.00	0.00	118.00	0.00	650.00	130.00	0.00	"DM Shaw & RS Harmon, Meteor. 1975,10,p253 (factor analysis)             "	"Felix Meteorite (C3O) (Pure elements, not oxides)                       "
190	MR-MJG-119          	BULK	14.90	0.00	1.28	0.35	0.00	20.50	0.16	13.30	1.69	0.32	0.00	0.00	0.00	99.00	0.00	650.00	86.00	0.00	"DM Shaw & RS Harmon, Meteor. 1975,10,p253 (factor analysis)             "	"Grosnaja Meteorite (C3V) (Pure elements, not oxides)                    "
191	MR-MJG-114          	BULK	33.95	0.10	2.91	0.44	0.00	22.84	0.24	23.74	2.20	0.59	0.05	0.34	0.00	0.00	1.36	700.00	0.00	0.00	"Geochimica et Cosmochimica Acta, 1956, p279                             "	"Lance Meteorite (C3O) (Ni = %, not ppm)                                 "
192	MR-MJG-122          	BULK	15.20	0.00	2.07	0.35	0.00	21.00	0.13	14.40	1.78	0.18	0.03	0.00	0.00	97.00	0.00	610.00	98.00	0.00	"DM Shaw & RS Harmon, Meteor. 1975,10,p253  (factor analysis)            "	"Vigarano Meteorite (C3V) (Pure elements, not oxides)                    "
193	MR-MJG-116          	BULK	34.82	0.15	2.18	0.58	0.00	24.34	0.20	23.57	2.17	0.69	0.23	0.20	0.00	0.00	1.43	900.00	0.00	0.00	"Geochimica et Cosmochimica Acta, 1956, p279                             "	Warrenton Meteorite (C3O)  (Ni = % not ppm)                             
194	MR-MJG-117          	BULK	34.23	0.15	3.27	0.52	0.00	27.15	0.18	24.62	2.61	0.45	0.03	0.23	0.00	0.00	0.36	100.00	111.00	0.00	"Smith. Contrib. Earth Sci., 1970 (5)                                    "	"Allende Meteorite (C3V) (Total Fe=23.85%; Ni=wt%, not ppm)              "
195	MR-MJG-067          	BULK	40.63	0.09	2.63	0.70	0.00	16.29	0.32	25.14	1.55	0.75	0.12	0.36	0.00	76.00	0.96	0.04	39.00	0.00	"RT Dodd, et al, Geochim. Cosmochim. Acta, 1967,31,p921                  "	"Chainpur Meteorite (LL3) (Total Fe=19.78; Ni&Co=wt%, not ppm)           "
196	MR-MJG-068          	BULK	41.03	0.21	2.64	0.59	0.00	15.78	0.35	26.34	1.58	0.91	0.11	0.23	0.00	0.00	0.88	0.09	30.00	0.00	"RT Dodd,et al, Geochim.Cosmochim.Acta,1967,31,p921                      "	"Parnallee Meteorite (LL3) (Ni & Co = wt%, not oxides)                   "
197	MR-MJG-032          	BULK	16.40	0.00	1.06	0.31	0.00	29.20	0.24	13.90	1.18	0.52	0.08	0.00	0.00	87.00	0.00	930.00	52.00	0.00	"DM Shaw & RS Harmon, Meteor. 1975,10,p253  (factor analysis)            "	"Pantar Meteorite (H5)  (Pure elem's, not oxides)                        "
198	MR-MJG-020          	BULK	16.30	0.00	0.84	0.32	0.00	36.90	0.38	10.40	0.74	0.86	0.10	0.00	0.00	190.00	0.00	870.00	290.00	0.00	"DM Shaw & RS Harmon, Meteor. 1975,10,p253  (factor analysis)            "	"Abee Meteorite (E4)  (Pure elements, not oxides)                        "
199	MR-MJG-023          	BULK	17.63	0.06	0.99	0.00	0.00	24.81	0.19	12.73	0.37	0.00	0.06	0.11	0.00	87.00	0.00	830.00	7.50	0.00	"H Von Michaelis et al, Earth Planet.Sci.Lett.,1969,5,p387               "	"Atalnta Meteorite(E6) (Pure elem's, not oxides)                         "
200	MR-MJG-024          	BULK	41.53	0.00	1.55	0.56	0.00	6.34	0.00	23.23	0.74	1.26	0.32	0.08	0.00	0.00	1.96	700.00	0.00	0.00	"Geochimica et Cosmochimica Acta, 1956, p279                             "	Hvittis Meteorite (E6)  (Ni = % not ppm)                                
201	MR-MJG-025          	BULK	0.00	0.00	0.93	0.36	0.00	25.60	0.25	0.00	0.00	0.59	0.07	0.00	0.00	98.00	0.00	999.99	10.00	0.00	"DM Shaw & RS Harmon, Meteor. 1975,10,p253                               "	"Khairpur Meteorite(E6) (Factor analysis; pure elem's, not oxides)       "
202	MR-MJG-090          	BULK	48.59	0.65	12.70	0.33	0.00	19.58	0.56	6.77	10.25	0.45	0.05	0.10	0.00	4.00	0.00	6.00	0.00	0.00	"MB Duke & LT Silver, Geochim.Cosmochim.Acta,1967,31,1637                "	Pasamonte Meteorite (AEUC)                                              
203	MR-MJG-203          	BULK	49.29	0.60	12.84	0.31	0.00	18.25	0.53	7.08	10.39	0.42	0.04	0.09	0.00	3.00	0.00	3.00	1.30	0.00	"MB Duke & LT Silver, Geochim.Cosmochim.Acta,1967,31,p1637               "	Sioux County Meteorite (AEUC)                                           
204	MR-MJG-092          	BULK	49.33	0.96	12.34	0.28	0.00	17.92	0.50	6.36	10.58	0.60	0.08	0.13	0.00	20.00	0.00	4.00	40.00	0.00	"MB Duke & LT Silver, Geochim.Cosmochim.Acta,1967,31,p1637               "	Stannern Meteorite (AEUC)                                               
205	MR-MJG-095          	BULK	49.48	0.46	5.10	1.34	0.00	17.39	0.53	20.50	4.02	0.17	0.02	0.00	0.00	18.00	0.00	26.00	1.60	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Frankfort Meteorite (AHOW)                                              
206	MR-MJG-053          	BULK	39.94	0.12	2.31	0.50	0.00	13.51	0.30	24.92	1.87	0.98	0.11	0.26	0.00	0.00	1.26	700.00	0.00	0.00	"RT Dodd & E Jarosewich, Meteor.1981,16,p93                              "	"Aumale Meteorite (L6) (Ni=wt%, not ppm)                                 "
207	MR-MJG-125          	BULK	40.17	0.11	2.07	0.49	0.00	13.15	0.36	24.95	1.83	0.92	0.11	0.24	0.00	0.00	1.12	400.00	0.00	0.00	"RT Dodd & E Jarosewich, Meteor.1981,16,p93                              "	"Vouille Meteorite (L6) (Ni=wt%, not ppm)                                "
208	MR-MJG-043          	BULK	39.58	0.13	1.94	0.52	0.00	14.46	0.36	24.61	2.01	0.99	0.11	0.27	0.00	0.00	1.24	600.00	0.00	0.00	"Geochim.Cosmochim.Acta,1967,31,p1103                                    "	"Mezo-Madaras Meteorite (L3) (Total Fe=21.60; Ni=wt%, not ppm)           "
209	MR-MJG-091          	BULK	49.32	0.68	12.64	0.30	0.00	18.49	0.53	6.83	10.32	0.42	0.05	0.09	0.00	0.00	0.00	0.00	0.00	0.00	"MB Duke & LT Silver,Geochim.Cosmochim.Acta,1967,31,p1637                "	Juvinas Meteorite (AEUC)                                                
210	MR-MJG-118          	BULK	34.42	0.17	3.31	0.52	11.10	7.26	0.24	24.99	2.66	0.27	0.03	0.38	0.00	0.00	1.35	800.00	0.00	0.00	"E Jarosewich, Geochim.Cosmochim.Acta,1966,30,p1261                      "	"Coolidge Meteorite (C4) (Total Fe=23.68%; Ni=wt%, not ppm)              "
211	MR-MJG-094          	BULK	49.90	0.29	6.00	0.86	0.00	18.10	0.52	17.80	5.30	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Pavlovka Meteorite (AHOW)                                               
212	MR-MJG-096          	BULK	50.10	0.42	7.40	0.72	0.00	17.60	0.46	15.00	6.44	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979(22)                        "	Le Teilleul Meteorite (AHOW)                                            
213	MR-MJG-097          	BULK	49.18	0.57	10.82	0.56	0.00	17.00	0.52	11.24	8.49	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Petersburg Meteorite (AHOW)                                             
214	MR-MJG-013          	BULK	48.47	0.37	9.46	0.63	0.00	17.16	0.53	12.00	8.08	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Kapoeta Meteorite (AHOW)                                                
215	MR-MJG-015          	BULK	50.10	0.92	6.68	0.18	0.00	18.66	0.50	9.40	10.30	1.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Shergotty Meteorite (AEUC)                                              
216	MR-MJG-093          	BULK	50.00	0.78	12.50	0.40	0.00	18.50	0.46	7.10	10.00	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Nobleborough Meteorite (AEUC)                                           
217	MR-MJG-088          	BULK	50.70	0.98	11.70	0.33	0.00	17.60	0.47	6.90	10.40	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Jonzac Meteorite (AEUC)                                                 
218	MR-MJG-089          	BULK	48.30	0.57	11.92	0.33	0.00	19.95	0.43	6.96	9.67	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Haraiya Meteorite (AEUC)                                                
219	MR-MJG-085          	BULK	49.13	0.70	12.75	0.32	0.00	19.83	0.55	6.80	10.48	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"B Mason,et al, Smith.Contrib.Earth Sci.,1979 (22)                       "	Bereba Meteorite (AEUC)                                                 
220	MR-MJG-029          	BULK	36.25	0.08	1.94	0.43	0.00	12.59	0.30	23.70	2.73	0.90	0.14	0.29	0.00	0.00	1.78	0.10	0.00	0.00	"RT Dodd,et al, Geochim.Cosmochim.Acta,1967,31,p921                      "	"Castalia Meteorite (H5) (Total Fe=25.83; Ni & Co=wt%, not ppm)          "
221	MR-MJG-072          	BULK	39.72	0.00	1.88	0.49	0.00	21.53	0.21	25.34	1.23	0.12	0.00	0.00	0.00	0.00	0.83	500.00	0.00	0.00	"B Mason & HB Wiik, Geochim.Cosmochim.Acta,1964,28,p533                  "	"Jelica Meteorite (LL6) (Ni=wt%, not ppm)                                "
222	MR-MJG-071          	BULK	40.73	0.00	2.30	0.14	0.00	20.74	0.15	25.16	2.09	0.92	0.33	0.19	0.00	0.00	0.41	0.02	0.00	0.00	"B Mason & HB Wiik, Geochim.Cosmochim.Acta,1964,28,p533                  "	"Olivenza Meteorite (LL5) (Ni & Co = wt%, not ppm)                       "
223	MR-MJG-073          	BULK	40.52	0.09	3.00	0.64	0.00	19.45	0.32	25.65	1.51	1.07	0.13	0.35	0.00	0.00	0.81	0.04	0.00	0.00	"B Mason & HB Wiik, Geochim.Cosmochim.Acta,1964,28,p533                  "	"Manbhoom Meteorite (LL6) (Ni & Co = wt%, not ppm)                       "
224	MR-MJG-074          	BULK	39.86	0.42	3.31	0.42	0.00	18.67	0.50	25.69	1.81	1.36	0.18	0.30	0.00	0.00	1.05	0.00	0.00	0.00	"B Mason & HB Wiik, Geochim.Cosmochim.Acta,1964,28,p533                  "	"Vavilovka Meteorite (LL6) (Ni=wt%, not ppm)                             "
225	MR-MJG-109          	BULK	23.40	0.00	3.10	0.30	0.00	34.10	0.20	15.10	0.90	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	"LH Fuchs,et al, Smith.Contrib.Earth Sci.,1973 (10)                      "	Murchison Meteorite (C2M) (Matrix; NiO = 1.5%; Ni = 0.08%)              
226	MR-MJG-022          	BULK	17.01	0.04	0.82	0.00	0.00	31.42	0.20	11.06	0.85	0.00	0.07	0.19	0.00	0.00	0.00	0.00	0.00	0.00	"H Von Michaelis,et al,Earth Planet.Sci.Lett.,1969,5,p387                "	"St. Mark's Meteorite (E5) (Pure elements, not oxides)                   "
227	MR-MJG-107          	BULK	12.24	0.06	1.09	0.00	0.00	19.49	0.16	10.95	1.19	0.00	0.05	0.09	0.00	0.00	0.00	0.00	0.00	0.00	"H Von Michaelis,et al, Earth Planet.Sci.Lett.,1969,5,p387               "	"Cold Bokkeveld Meteorite (C2M) (Pure elements, not oxides)              "
228	MR-MJG-057          	BULK	18.08	0.06	1.12	0.00	0.00	24.38	0.25	14.40	1.22	0.00	0.09	0.09	0.00	0.00	0.00	0.00	0.00	0.00	"H Von Michaelis,et al, Earth Planet.Sci.Lett.,1969,5,p387               "	"Colby (Wisconsin) Meteorite (L6) (Pure elem's, not oxides)              "
229	MR-MJG-051          	BULK	18.88	0.07	1.19	0.00	0.00	21.25	0.26	15.16	1.31	0.00	0.09	0.10	0.00	0.00	0.00	0.00	0.00	0.00	"H Von Michaelis,et al,Earth Planet.Sci.Lett.,1969,5,p387                "	"Alfianello Meteorite (L6) (Pure elements, not oxides)                   "
230	MR-MJG-058          	BULK	18.52	0.06	1.15	0.00	0.00	21.85	0.26	15.05	1.29	0.00	0.09	0.10	0.00	0.00	0.00	0.00	0.00	0.00	"H Von Michaelis,et al, Earth Planet.Sci.Lett.,1969,5,p387               "	"Drake Creek Meteorite (L6) (Pure elements, not oxides)                  "
231	MR-MJG-062          	BULK	18.06	0.06	1.21	0.00	0.00	21.71	0.25	14.84	1.26	0.00	0.09	0.10	0.00	0.00	0.00	0.00	0.00	0.00	"H Von Michaelis,et al, Earth Planet.Sci.Lett.,1969,5,p387               "	"St. Michel Meteorite (L6) (Pure elements, not oxides)                   "
232	MR-MJG-077          	BULK	18.96	0.06	1.18	0.00	0.00	20.35	0.26	15.15	1.32	0.00	0.08	0.09	0.00	0.00	0.00	0.00	0.00	0.00	"H Von Michaelis,et al, Earth Planet.Sci.Lett.,1969,5,p387               "	"Farmington Meteorite (L5) (Pure elements, not oxides)                   "
233	MR-MJG-031          	BULK	16.64	0.06	1.06	0.00	0.00	27.17	0.23	13.70	1.17	0.00	0.08	0.11	0.00	0.00	0.00	0.00	0.00	0.00	"H Von Michaelis,et al, Earth Planet.Sci.Lett.,1969,5,p387               "	"Forest City Meteorite (H5) (Pure elements, not oxides)                  "
234	MR-MJG-045          	BULK	41.61	0.13	2.36	0.58	0.00	14.89	0.35	25.74	1.96	1.02	0.10	0.25	0.00	0.00	1.01	0.03	0.00	0.00	"RT Dodd,et al, Geochim.Cosmochim.Acta, 1967,31,p921                     "	"Cynthiana Meteorite (L4) (Ni & Co = wt%, not ppm)                       "
235	MR-MJG-069          	BULK	41.05	0.14	2.64	0.56	0.00	17.43	0.28	25.25	2.12	1.02	0.07	0.28	0.00	0.00	0.90	0.06	0.00	0.00	"RT Dodd,et al, Geochim.Cosmochim.Acta,1967,31,p921                      "	"Hamlet Meteorite (LL4) (Ni & Co = wt%, not ppm)                         "
236	MR-MJG-039          	BULK	36.84	0.08	2.40	0.73	0.00	17.54	0.34	23.79	1.61	0.95	0.04	0.21	0.00	0.00	1.71	0.10	0.00	0.00	"RT Dodd,et al, Geochim.Cosmochim.Acta,1967,31,p921                      "	"Tieschitz Meteorite (H3) (Ni & Co = wt%, not ppm)                       "
237	MR-MJG-111          	BULK	27.18	0.00	2.35	0.35	0.00	20.28	0.07	19.05	2.52	0.18	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	"Geochimica et Cosmochimica Acta, 1956, p279                             "	Nogoya Meteorite (C2M)                                                  
238	MR-MJG-030          	BULK	36.21	0.18	3.67	0.60	0.00	5.94	0.31	23.42	1.18	1.31	0.24	0.00	0.00	0.00	1.56	0.10	0.00	0.00	"Geochimica et Cosmochimica Acta, 1956, p279                             "	"Collescipoli Meteorite (H5) (Ni & Co = wt%, not ppm)                    "
239	MR-MJG-048          	BULK	39.27	0.00	2.10	0.32	0.40	12.06	0.08	24.88	1.78	0.92	0.13	0.26	0.00	0.00	1.19	0.09	0.00	0.00	"GT Prior, Min. Mag., 1918,18,p173                                       "	"Homestead Meteorite (L5) (Ni & Co = wt%, not ppm)                       "
240	MR-MJG-035          	BULK	53.98	0.00	4.78	0.36	0.00	9.28	0.00	25.19	2.03	0.00	0.00	0.00	0.00	0.00	1.35	0.00	0.00	0.00	"GT Prior, Min. Mag., 1926,21,p190                                       "	Queen's Mercy Meteorite (H6) (analysis of unsoluble silicate (pyx))     
241	MR-MJG-059          	BULK	39.15	0.12	2.22	0.49	0.00	16.21	0.35	23.86	1.82	0.90	0.10	0.24	0.00	0.00	1.17	0.07	0.00	0.00	"GR Levi-Donati & E Jarosevich, Meteor. 1972, 7, p109.                   "	"Girgenti Meteorite (L6) (Ni & Co = wt%, not ppm)                        "
242	MR-MJG-054          	BULK	39.94	0.12	1.86	0.60	0.00	12.94	0.33	24.95	1.74	1.01	0.13	0.29	0.00	0.00	1.30	0.05	0.00	0.00	"Journal Geo. Resch., 1961, 66, p3574.                                   "	"Bruderheim Meteorite (L6) (Ni & Co = wt%, not ppm)                      "
243	MR-MJG-042          	BULK	36.40	0.13	2.70	0.52	0.00	8.93	0.31	23.39	1.66	0.96	0.08	0.08	0.00	0.00	1.25	0.08	0.00	0.00	"R.Hutchinson et al, Proc.Roy.Soc.London,1981,A374,p159                  "	"Quenggouk Meteorite (H4) (Ni & Co = %, not ppm)                         "
244	MR-MJG-120          	BULK	15.55	0.09	1.83	0.00	0.00	22.02	0.15	14.86	1.80	0.11	0.01	0.10	0.00	0.00	0.00	0.00	0.00	0.00	"TS McCarthy, et al, Earth Planet.Sci.Lett.,1972,14,p97                  "	"Leoville Meteorite (C3V) (Pure elements, not oxides)                    "
245	MR-MJG-123          	BULK	33.28	0.22	2.77	0.62	0.00	29.33	0.19	25.27	2.10	0.72	0.03	0.10	0.00	0.00	1.40	0.06	0.00	0.00	"B Mason & HB Wiik, Am.Mus.Novit., 1962 (2115)                           "	"Karoonda Meteorite (C3V) (Ni & Co = %, not ppm)                         "
246	MR-MJG-079          	BULK	30.08	0.13	2.78	0.50	0.00	5.25	0.22	19.77	1.20	0.69	0.13	0.36	0.00	0.00	2.24	0.13	0.00	0.00	"B Mason & HB Wiik, Am.Mus.Novit., 1966 (2272)                           "	"Rose City Meteorite (HB) (Ni & Co = %, not ppm)                         "
247	MR-MJG-113          	BULK	34.86	0.13	2.70	0.56	0.00	32.88	0.22	24.17	2.18	0.58	0.05	0.27	0.00	0.00	1.88	0.00	0.00	0.00	"LH Ahrens, et al, Meteor. 1973,8,p133                                   "	Kainsaz Meteorite (C3O) (Ni = %NiO)                                     
248	LS-CMP-007          	BULK	45.30	0.35	26.30	0.10	0.00	5.30	0.06	6.70	14.90	0.46	0.14	0.19	0.00	7.80	795.00	49.00	13.00	0.00	"HJ Rose, et al, Proc.Lunar Sci.Conf.6th,1975,p1363                      "	Matrix chemistry of Apollo 16 Reg. Breccia #60019                       
249	LS-CMP-004          	BULK	42.88	0.05	20.73	0.11	0.00	4.99	0.07	19.09	11.41	0.23	0.03	0.03	0.00	0.00	0.00	0.00	0.00	0.00	"Edward W. Wolfe, et al, Geol. Invest. T-L Valley, USGS 1981.            "	Apollo 17 Metatroctolite  #76535                                        
250	LS-CMP-005          	BULK	39.93	0.03	1.53	0.34	0.00	11.34	0.13	43.61	1.14	0.02	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	"Edward W. Wolfe et al, Geol. Invest. T-L Valley, USGS, 1981             "	Apollo 17 Metadunite Cataclastite #72415                                
251	LS-CMP-012          	PYX 	53.90	0.32	3.44	0.52	0.00	11.16	0.20	27.52	3.26	0.05	0.01	0.04	0.00	0.00	0.00	0.00	0.00	0.00	"Wolfe, Edward W., et al, 1981.                                          "	"Pyroxene of Apollo 17 Norite  #78235,34                                 "
252	"LS-CMP-011,-JBA-122 "	ANO 	44.08	0.02	35.49	0.00	0.00	0.23	0.00	0.09	19.68	0.34	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	"Ryder, Graham. Catalog of Apollo 15 Rocks. Houston: NASA, 1985.         "	"Pristine Lunar Anorthosite #15415,123                                   "
253	LS-JBA-124          	GLS 	45.24	0.34	7.53	0.45	0.00	19.51	0.00	17.55	8.23	0.13	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Green glass from Apollo 15 Breccia #15259                               
254	LS-JBA-123          	BULK	45.60	0.29	7.67	0.00	0.00	19.70	0.00	16.60	8.72	0.12	0.06	0.00	0.00	0.00	170.00	72.00	0.00	150.00	"Ryder, Graham. Catalog of Apollo 15 Rocks. Houston: NASA, 1985.         "	"Bulk separated green glass spherules of Apollo 15 #15426,38             "
255	LS-JBA-212          	BULK	45.00	0.80	20.90	0.25	0.00	8.45	0.12	11.00	12.20	0.51	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Wolfe, Edward W. et al, 1981.                                           "	"Apollo 17 Polymict Breccia 72255, avg of 4 matrix analyses              "
256	LS-CMP-015-R3       	BULK	43.50	0.40	28.70	0.09	0.00	3.20	0.03	4.10	15.40	0.44	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Pieters & Taylor, Proc.LunarPlanet.Sci.Conf. 19th, pp115-125            "	"Clast R3 of Apollo 16 regolith breccia 60019,215                        "
257	LS-CMP-015-R1       	BULK	45.00	0.54	25.20	0.13	0.00	4.80	0.04	7.00	13.20	0.43	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Pieters & Taylor, Proc.Lunar Planet.Sci.Conf. 19th, pp115-125           "	"Spot R1 of Apollo 16 regolith breccia chip 60019,215                    "
258	LS-CMP-015-R2       	BULK	45.00	0.69	27.70	0.11	0.00	4.10	0.03	4.80	14.40	0.33	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Pieters & Taylor, Proc. Lunar Planet. Sci. Conf. 19th, pp115-125        "	"Spot R2 of Apollo 16 regolith breccia chip 60019,215                    "
259	LS-CMP-015-S3       	BULK	45.20	0.72	25.00	0.13	0.00	5.30	0.04	7.70	13.70	0.51	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Pieters & Taylor, Proc.Lunar Planet.Sci.Conf. 19th, pp115-125           "	"Matrix area S3 of Apollo 16 regolith breccia chip 60019,215             "
260	RS-CMP-046          	BULK	26.73	0.15	3.11	0.30	0.00	24.54	0.15	19.35	2.22	1.07	0.20	0.00	0.00	0.00	1.15	0.03	0.00	0.00	"Geochimica et Cosmochimica Acta 1956, p279                              "	Boriskino Meteorite                                                     
261	MH-CMP-001          	BULK	39.77	0.14	3.42	0.51	0.00	12.82	0.31	23.82	1.79	0.75	0.22	0.27	0.00	0.00	0.79	0.04	0.00	0.00	"Geochimica et Cosmochimica Acta, 1956, p279                             "	McKinney Meteorite                                                      
262	MR-MJG-014          	BULK	48.16	0.32	15.57	0.44	0.00	15.02	0.31	8.41	11.08	0.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"Smithsonian Contributions to Earth Sciences, 1979,22,p30                "	Moore County Meteorite                                                  
263	MH-CMP-002          	BULK	40.61	0.12	2.63	0.46	0.00	15.63	0.33	25.32	1.56	0.95	0.11	0.26	0.00	0.00	1.20	0.08	0.00	0.00	"Dodd, et al, Geochimica et Cosmochimica Acta, 1967,31,p921              "	Barratta Meteorite                                                      
264	MH-CMP-015          	BULK	39.67	0.15	2.27	0.52	0.00	14.61	0.52	24.67	1.86	0.77	0.08	0.24	0.00	0.00	1.25	0.05	0.00	0.00	"Dodd, et al, Geochimica et Cosmochimica Acta, 1967,31,p921              "	Goodland Meteorite                                                      
265	RS-CMP-063          	BULK	40.10	0.14	2.93	0.52	0.00	14.29	0.34	25.01	1.88	0.84	0.07	0.20	0.00	0.00	0.00	0.00	0.00	0.00	"Dodd, et. al., Geochimica et Cosmochimica Acta, 1967,31,p921            "	Krymka Meteorite                                                        
