Rec #	Sample ID	Mineral	%SiO2	%TiO2	%Al2O3	%Cr2O3	%Fe2O3	%FeO	%MnO	%MgO	%CaO	%Na2O	%K2O	%P2O5	%LOI	Cu(ppm)	Ni(ppm)	Co(ppm)	Zn(ppm)	V(ppm)	Source	Text
71	LS-JBA-104          	BULK	44.08	2.28	8.38	0.85	0.00	22.74	0.32	11.30	9.27	0.27	0.04	0.07	0.00	11.00	85.90	54.00	4.00	200.00	"Lofgren & Lofgren, Catalog of Lunar Mare ..., 1981                      "	Apollo 15 Basalt  NASA#15016                                            
72	LS-JBA-105          	BULK	46.56	1.75	13.73	0.00	0.00	15.21	0.20	10.37	10.54	0.41	0.20	0.18	0.00	0.00	0.00	40.00	0.00	114.00	"RV Morris, et al, Handbook of Lunar Soils, 1983                         "	Apollo 15 Soil  NASA#15021                                              
73	LS-JBA-106          	BULK	48.14	1.69	8.89	0.66	0.00	19.86	0.27	9.28	10.27	0.28	0.03	0.07	0.00	0.00	0.00	42.00	0.00	0.00	"Lofgren & Lofgren, Catalog of Lunar Mare ..., 1981                      "	Apollo 15 Mare Basalt  NASA#15058                                       
74	LS-JBA-107          	BULK	48.34	1.46	9.79	0.50	0.00	18.82	0.25	10.47	9.75	0.34	0.05	0.07	0.00	64.00	75.90	52.00	5.00	158.00	"Lofgren & Lofgren, Catalog of Lunar Mare ..., 1981                      "	Apollo 15 Mare Basalt NASA#15065                                        
75	LS-JBA-108          	BULK	48.13	1.50	13.85	0.44	0.00	16.21	0.20	11.14	11.19	0.36	0.15	0.00	0.00	0.00	0.00	46.00	0.00	116.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil NASA#15081                                               
76	LS-JBA-109          	BULK	47.50	1.67	11.01	0.42	0.00	17.49	0.26	10.55	10.26	0.35	0.14	0.17	0.00	0.00	157.16	41.00	0.00	0.00	"RM Fruland, Regolith Breccia Workbook, NASA 1983                        "	Apollo 15 Regolith Breccia NASA#15086                                   
77	LS-JBA-110          	BULK	46.47	1.31	17.47	0.24	0.00	11.57	0.17	10.50	11.77	0.41	0.18	0.16	0.00	0.00	365.00	39.00	0.00	80.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil NASA#15091                                               
78	LS-JBA-111          	BULK	46.29	1.31	17.70	0.22	0.00	11.53	0.16	10.55	11.54	0.41	0.19	0.16	0.00	0.00	295.00	44.00	0.00	94.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil NASA#15101                                               
79	LS-JBA-112          	BULK	51.03	1.99	14.92	0.34	0.00	11.28	0.16	8.23	9.94	0.73	0.53	0.56	0.00	0.00	0.00	0.00	0.00	0.00	"RM Fruland, Regolith Breccia Workbook, NASA 1983                        "	Apollo 15 Regolith Breccia NASA#15205                                   
80	LS-JBA-113          	BULK	46.35	1.34	17.73	0.23	0.00	11.66	0.16	10.48	11.68	0.44	0.19	0.19	0.00	0.00	325.00	40.00	0.00	80.00	"RV Morris, Handbook of Lunar Soils, 1983                                "	Apollo 15 Soil NASA#15211                                               
81	LS-JBA-114          	BULK	46.56	1.27	17.54	0.23	0.00	11.32	0.15	10.69	11.87	0.45	0.19	0.16	0.00	0.00	320.00	44.00	0.00	84.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil NASA#15221                                               
82	LS-JBA-116          	BULK	46.40	1.35	17.14	0.23	0.00	11.53	0.16	10.47	11.88	0.41	0.19	0.15	0.00	0.00	315.00	42.00	0.00	82.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil NASA#15231                                               
83	LS-JBA-117          	BULK	47.02	1.49	16.28	0.30	0.00	12.00	0.16	10.31	11.25	0.54	0.22	0.24	0.00	0.00	405.00	46.00	0.00	85.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil NASA#15251                                               
84	LS-JBA-118          	BULK	46.40	1.80	14.10	0.00	0.00	14.70	0.00	11.10	10.70	0.38	0.16	0.11	0.00	0.00	0.00	0.00	0.00	0.00	"G Ryder, Catalog of Apollo 15 Rocks, NASA 1985                          "	"Rind Glass on Apollo 15 Reg. Breccia 15255,77                           "
85	LS-JBA-119          	BULK	46.70	1.47	16.51	0.38	0.00	12.15	0.16	10.55	11.29	0.43	0.21	0.21	0.00	0.00	231.00	40.00	0.00	80.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil                                                          
86	LS-JBA-120          	BULK	49.91	1.17	14.53	0.00	0.00	14.05	0.19	12.12	10.70	0.35	0.16	0.15	0.00	0.00	234.00	51.00	0.00	97.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil NASA#15301                                               
87	LS-JBA-121          	BULK	45.35	0.40	7.52	0.44	0.00	20.10	0.22	17.08	8.42	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil NASA#15401                                               
88	LS-JBA-125          	BULK	46.10	1.58	12.91	0.47	0.00	16.24	0.21	11.11	10.42	0.32	0.12	0.12	0.00	0.00	179.00	46.00	0.00	128.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Soil  NASA 15471                                              
89	LS-JBA-126          	BULK	47.81	1.78	9.11	0.57	0.00	20.19	0.28	9.33	10.34	0.32	0.05	0.08	0.00	0.00	19.00	44.00	2.00	189.00	"Lofgren & Lofgren, Catalog of Lunar Mare..., 1981                       "	Apollo 15 Mare Basalt  NASA 15499                                       
90	LS-JBA-127          	BULK	46.21	1.81	12.20	0.49	0.00	16.72	0.22	10.80	10.25	0.37	0.16	0.17	0.00	0.00	224.00	50.00	0.00	129.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Mare Soil  NASA 15501                                         
91	LS-JBA-128          	BULK	46.42	2.17	9.86	0.56	0.00	20.70	0.25	11.34	9.38	0.31	0.87	0.00	0.00	0.00	0.00	50.00	0.00	182.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Mare Soil  NASA 15531                                         
92	LS-JBA-129          	BULK	44.57	2.10	8.69	0.61	0.00	22.53	0.29	11.36	9.40	0.27	0.09	0.06	0.00	0.00	41.90	0.00	10.00	0.00	"Lofgren & Lofgren, Catalog of Lunar Mare..., 1981                       "	Apollo 15 Mare Basalt  NASA 15555                                       
93	LS-JBA-130          	BULK	45.05	1.98	10.20	0.56	0.00	19.79	0.26	10.89	9.87	0.29	0.10	0.11	0.00	6.40	170.00	48.90	0.00	200.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 15 Mare Soil  NASA 15601                                         
