Sample ID	Text	Unit	Mineral #1	%	Chem. #	Mineral #2	%	Chem. #	Mineral #3	%	Chem. #	Mineral #4	%	Chem. #	Mineral #5	%	Chem. #	Mineral #6	%	Chem. #	Mineral #7	%	Chem. #	Mineral #8	%	Chem. #	Mineral #9	%	Chem. #	Mineral #10	%	Chem. #
ER-TGS-010	Mixture Powder	Wt	AUG	90.00 	652	ASI	10.00 	653		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
ER-TGS-011	Mixture Powder	Wt	AUG	97.50 	652	MON	2.50 	654		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
ER-TGS-012	Mixture Powder	Wt	AUG	90.00 	652	MON	10.00 	654		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-002          	92-H-002		OLV	0.00 	0	OPX	0.00 	0	CPX	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-008          	92-H-008		OLV	0.00 	0	OPX	0.00 	0	CPX	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-009          	92-H-009		CAL	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-011          	92-H-011		   	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-013          	92-H-013		CPX	0.00 	0	OLV	0.00 	0	   	0.00 	0	   	0.00 	0	ITH	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-014          	92-H-014		SER	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-015          	92-H-015		   	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-026          	C 		QTZ	0.00 	0	CPX	0.00 	0	OPX	0.00 	0	OLV	0.00 	0	LIT	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-030          	92-H-030		OLV	0.00 	0	OPX	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-031          	92-H-031		OLV	0.00 	0	OPX	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-032-P        	92-H-032		OLV	0.00 	0	OPX	0.00 	0	   	0.00 	0	   	0.00 	0	ITH	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-033-P        	92-H-033		OLV	0.00 	0	OPX	0.00 	0	CPX	0.00 	0	   	0.00 	0	ITH	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-040          	92-H-040		OLV	0.00 	0	OPX	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
FB-JFM-050          	"RH92-17B,22,25,26 "		OLV	0.00 	0	OPX	0.00 	0	CPX	0.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
HO-EAC-001          	OOH001	Wt	   	90.00 	0	PAL	10.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
HO-EAC-002          	OOH002	Wt	   	90.00 	0	PAL	10.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
HO-EAC-003          	OOH003	Wt	   	90.00 	0	PAL	10.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
HO-EAC-004          	OOH004	Wt	   	90.00 	0	PAL	10.00 	0	   	0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0		0.00 	0
