SpectrumID	SampleID	Date	ReleaseDate	SpecCode	Start	Stop	Resolution	SourceAngle	DetectAngle	AzimuthAngle	PhaseAngle	Temperature	Atmosphere	PhotoFile	Spinning	Aperture	Scrambler	Depolarizer	User	NASA_PI_Sponsor	ResearchType	Reference			
C2AC04	AC-PCP-004	21-Jul-03	18-Jul-04	BD-VNIR	320	2550	10.0	10.0	0.0	0.0	10.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C3AC04	AC-PCP-004	21-Jul-03	22-Jul-04	BD-VNIR	320	2550	10.0	40.0	0.0	0.0	40.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C4AC04	AC-PCP-004	24-Jul-03	22-Jul-04	BD-VNIR	320	2550	10.0	50.0	0.0	0.0	50.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C5AC04	AC-PCP-004	24-Jul-03	25-Jul-04	BD-VNIR	320	2550	10.0	60.0	0.0	0.0	60.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C6AC04	AC-PCP-004	29-Jul-03	25-Jul-04	BD-VNIR	320	2550	10.0	60.0	0.0	0.0	60.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AC05	AC-PCP-005	29-Jul-03	29-Jul-04	BD-VNIR	320	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AC06	AC-PCP-006	29-Jul-03	29-Jul-04	BD-VNIR	320	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AC07	AC-PCP-007	17-Jul-03	17-Jul-04	BD-VNIR	320	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C2AC07	AC-PCP-007	21-Jul-03	18-Jul-04	BD-VNIR	320	2550	10.0	10.0	0.0	0.0	10.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C3AC07	AC-PCP-007	21-Jul-03	22-Jul-04	BD-VNIR	320	2550	10.0	40.0	0.0	0.0	40.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C4AC07	AC-PCP-007	24-Jul-03	22-Jul-04	BD-VNIR	320	2550	10.0	50.0	0.0	0.0	50.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C5AC07	AC-PCP-007	24-Jul-03	25-Jul-04	BD-VNIR	320	2550	10.0	60.0	0.0	0.0	60.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C6AC07	AC-PCP-007	29-Jul-03	25-Jul-04	BD-VNIR	320	2550	10.0	60.0	0.0	0.0	60.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AC08	AC-PCP-008	30-Jul-03	30-Jul-04	BD-VNIR	320	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C1AC09	AC-PCP-009	17-Jul-03	17-Jul-04	BD-VNIR	320	2550	10.0	30.0	0.0	0.0	30.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C2AC09	AC-PCP-009	21-Jul-03	18-Jul-04	BD-VNIR	320	2550	10.0	10.0	0.0	0.0	10.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
C3AC09	AC-PCP-009	21-Jul-03	22-Jul-04	BD-VNIR	320	2550	10.0	40.0	0.0	0.0	40.0	Room	Ambient		Yes	11.0	Out	Out	PCP	PCP	"Student, Grain size and viewing geometry effects of basalt"				
