PI	Sub-Code	Wavelength Corrected File	Original  File	Sample ID	Date	Start	Stop	Rel	Source Angle	Detect Angle
JBA	LS	CLS277.DAT	WLS277.DAT	LS-JBA-118    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS485.DAT	WLS485.DAT	LS-JBA-119-M1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS274.DAT	WLS274.DAT	LS-JBA-119-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS528.DAT	WLS528.DAT	LS-JBA-119-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS450.DAT	WLS450.DAT	LS-JBA-119-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS115.DAT	WLS115.DAT	LS-JBA-119-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS260.DAT	WLS260.DAT	LS-JBA-119-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS468.DAT	WLS468.DAT	LS-JBA-120-M1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS406.DAT	WLS406.DAT	LS-JBA-120-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS511.DAT	WLS511.DAT	LS-JBA-120-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS094.DAT	WLS094.DAT	LS-JBA-120-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS030.DAT	WLS030.DAT	LS-JBA-120-N3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS279.DAT	WLS279.DAT	LS-JBA-120-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS459.DAT	WLS459.DAT	LS-JBA-120-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS081.DAT	WLS081.DAT	LS-JBA-120-P3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS270.DAT	WLS270.DAT	LS-JBA-120-P4 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS236.DAT	WLS236.DAT	LS-JBA-120-P5 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS241.DAT	WLS241.DAT	LS-JBA-121-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS409.DAT	WLS409.DAT	LS-JBA-121-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS655.DAT	WLS655.DAT	LS-JBA-121-P2 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS453.DAT	WLS453.DAT	LS-JBA-121-P3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS456.DAT	WLS456.DAT	LS-JBA-121-P3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS060.DAT	WLS060.DAT	LS-JBA-122    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS118.DAT	WLS118.DAT	LS-JBA-123    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS247.DAT	WLS247.DAT	LS-JBA-124    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS484.DAT	WLS484.DAT	LS-JBA-125-M1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS267.DAT	WLS267.DAT	LS-JBA-125-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS524.DAT	WLS524.DAT	LS-JBA-125-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS443.DAT	WLS443.DAT	LS-JBA-125-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS732.DAT	WLS732.DAT	LS-JBA-125-P  	16-Dec-90	547	1277	5	NA	NA
JBA	LS	CLS114.DAT	WLS114.DAT	LS-JBA-125-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS299.DAT	WLS299.DAT	LS-JBA-125-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS467.DAT	WLS467.DAT	LS-JBA-125-P3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS258.DAT	WLS258.DAT	LS-JBA-126    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS032.DAT	WLS032.DAT	LS-JBA-127-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS155.DAT	WLS155.DAT	LS-JBA-127-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS229.DAT	WLS229.DAT	LS-JBA-127-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS281.DAT	WLS281.DAT	LS-JBA-127-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS408.DAT	WLS408.DAT	LS-JBA-127-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS610.DAT	WLS610.DAT	LS-JBA-128    	22-Apr-86	351	2515	3	NA	NA
JBA	LS	CLS097.DAT	WLS097.DAT	LS-JBA-128-M1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS103.DAT	WLS103.DAT	LS-JBA-128-M1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS412.DAT	WLS412.DAT	LS-JBA-128-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS158.DAT	WLS158.DAT	LS-JBA-128-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS038.DAT	WLS038.DAT	LS-JBA-128-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS286.DAT	WLS286.DAT	LS-JBA-128-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS262.DAT	WLS262.DAT	LS-JBA-129    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS510.DAT	WLS510.DAT	LS-JBA-130-M1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS233.DAT	WLS233.DAT	LS-JBA-130-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS462.DAT	WLS462.DAT	LS-JBA-130-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS402.DAT	WLS402.DAT	LS-JBA-130-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS086.DAT	WLS086.DAT	LS-JBA-130-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS306.DAT	WLS306.DAT	LS-JBA-140-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS348.DAT	WLS348.DAT	LS-JBA-140-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS458.DAT	WLS458.DAT	LS-JBA-140-P2 	2-Jul-85	351	2515	3	NA	NA
